channel,time
15,64.078
15,67.558
15,67.562
15,67.564
15,67.568
15,67.571
15,67.572
15,67.575
15,67.576
15,67.579
15,67.58
15,67.585
15,67.589
15,67.591
15,67.593
15,71.196
15,71.197
15,71.198
15,71.201
15,71.203
15,71.204
15,71.207
15,71.21
15,71.214
15,71.216
15,71.218
15,71.225
15,71.228
15,71.23
15,75.093
15,75.095
15,75.097
15,75.098
15,75.1
15,75.102
15,75.104
15,75.106
15,75.109
15,75.111
15,75.112
15,75.113
15,75.117
15,75.122
15,75.124
15,78.665
15,78.667
15,78.67
15,78.673
15,78.675
15,78.678
15,78.679
15,78.681
15,78.685
15,78.687
15,78.688
15,78.695
15,78.696
15,78.704
15,81.96
15,81.964
15,81.965
15,81.967
15,81.971
15,81.972
15,81.975
15,81.978
15,81.979
15,81.983
15,81.984
15,81.993
15,84.961
15,84.964
15,84.965
15,84.968
15,84.97
15,84.971
15,84.974
15,84.975
15,84.976
15,84.978
15,84.981
15,84.984
15,84.985
15,84.988
15,84.989
15,84.995
15,84.996
15,88.071
15,88.073
15,88.075
15,88.083
15,88.085
15,88.088
15,88.091
15,88.096
15,88.098
15,88.101
15,88.105
15,88.11
15,88.112
15,91.561
15,91.563
15,91.565
15,91.567
15,91.569
15,91.571
15,91.573
15,91.575
15,91.576
15,91.578
15,91.583
15,91.584
15,91.588
15,91.593
15,94.953
15,94.956
15,94.959
15,94.962
15,94.963
15,94.965
15,94.968
15,94.97
15,94.971
15,94.973
15,94.977
15,94.98
15,94.981
15,94.987
15,94.99
15,97.789
15,97.796
15,97.8
15,97.804
15,97.808
15,97.809
15,97.812
15,97.814
15,97.816
15,97.82
15,97.822
15,97.826
15,97.827
15,97.831
15,100.62
15,100.63
15,100.63
15,100.63
15,100.63
15,100.63
15,100.64
15,100.64
15,100.64
15,100.64
15,100.65
15,100.65
15,100.65
15,100.65
15,100.65
15,100.66
15,104.04
15,104.05
15,104.05
15,104.05
15,104.05
15,104.06
15,104.06
15,104.06
15,104.06
15,104.06
15,104.07
15,104.07
15,104.07
15,104.07
15,104.08
15,104.08
15,104.11
15,107.23
15,107.24
15,107.24
15,107.24
15,107.24
15,107.25
15,107.25
15,107.25
15,107.25
15,107.26
15,107.26
15,107.26
15,107.27
15,107.28
15,110.75
15,110.75
15,110.75
15,110.76
15,110.76
15,110.77
15,110.77
15,110.77
15,110.77
15,110.77
15,110.78
15,110.78
15,110.78
15,110.78
15,110.79
15,110.79
15,111.24
15,111.25
15,111.25
15,111.26
15,111.26
15,111.26
15,111.26
15,111.27
15,111.27
15,111.27
15,111.27
15,111.28
15,111.28
15,111.28
15,111.29
15,111.29
15,111.44
15,111.44
15,111.45
15,111.46
15,111.85
15,111.86
15,111.86
15,111.86
15,111.86
15,111.87
15,111.87
15,111.87
15,111.87
15,111.88
15,111.88
15,111.89
15,111.89
15,111.89
15,111.9
15,112.18
15,112.18
15,117.27
15,117.28
15,117.28
15,117.28
15,117.28
15,117.29
15,117.29
15,117.29
15,117.3
15,117.3
15,117.3
15,117.3
15,117.3
15,121.7
15,121.7
15,121.71
15,121.71
15,121.71
15,121.71
15,121.72
15,121.72
15,121.72
15,121.72
15,121.72
15,121.73
15,121.73
15,121.73
15,121.73
15,121.74
15,125.51
15,125.51
15,125.52
15,125.52
15,125.52
15,125.52
15,125.52
15,125.53
15,125.53
15,125.53
15,125.53
15,125.54
15,125.54
15,125.54
15,125.55
15,129.37
15,129.37
15,129.37
15,129.38
15,129.38
15,129.38
15,129.38
15,129.39
15,129.39
15,129.39
15,129.39
15,129.4
15,129.4
15,129.41
15,133.01
15,133.01
15,133.02
15,133.02
15,133.02
15,133.02
15,133.02
15,133.03
15,133.03
15,133.03
15,133.03
15,133.04
15,133.04
15,136.63
15,136.63
15,136.63
15,136.63
15,136.64
15,136.64
15,136.64
15,136.64
15,136.65
15,136.65
15,136.65
15,136.66
15,136.66
15,139.83
15,139.83
15,139.83
15,139.84
15,139.84
15,139.84
15,139.84
15,139.84
15,139.85
15,139.85
15,139.85
15,139.85
15,139.86
15,139.86
15,139.9
15,143.15
15,143.15
15,143.16
15,143.16
15,143.16
15,143.16
15,143.17
15,143.17
15,143.17
15,143.17
15,143.18
15,143.18
15,143.18
15,143.2
15,146.6
15,146.6
15,146.6
15,146.6
15,146.61
15,146.61
15,146.61
15,146.61
15,146.61
15,146.62
15,146.62
15,146.62
15,146.63
15,146.63
15,149.79
15,149.79
15,149.79
15,149.79
15,149.8
15,149.8
15,149.8
15,149.8
15,149.81
15,149.81
15,149.81
15,149.82
15,149.82
15,149.82
15,149.83
15,152.8
15,152.8
15,152.8
15,152.8
15,152.81
15,152.81
15,152.81
15,152.82
15,152.82
15,152.82
15,152.82
15,152.82
15,152.83
15,155.89
15,155.89
15,155.9
15,155.9
15,155.9
15,155.9
15,155.9
15,155.91
15,155.91
15,155.91
15,155.92
15,155.92
15,155.92
15,155.93
15,158.85
15,158.85
15,158.86
15,158.86
15,158.86
15,158.86
15,158.86
15,158.87
15,158.87
15,158.87
15,158.87
15,158.87
15,158.88
15,158.88
15,161.7
15,161.7
15,161.7
15,161.7
15,161.71
15,161.71
15,161.71
15,161.71
15,161.71
15,161.72
15,161.72
15,161.72
15,161.72
15,161.73
15,161.73
15,164.11
15,164.12
15,164.12
15,164.12
15,164.12
15,164.12
15,164.13
15,164.13
15,164.13
15,164.13
15,164.13
15,164.14
15,164.14
15,164.14
15,167.19
15,167.19
15,167.19
15,167.19
15,167.19
15,167.2
15,167.2
